seed,captured,detectStep,capturePhaseStartStep,captureStep,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,avgIdleness,maxIdleness,workloadBalance,targetConflictCount
12345,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12346,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12347,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12348,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12349,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12350,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12351,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12352,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12353,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12354,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12355,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12356,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12357,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12358,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12359,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
12360,False,97,97,-1,41,1.0000,916,297.7281,14.0494,1000,0.9993,297.7281,916,0.0000,0
