simMode,seed,captured,detectStep,capturePhaseStartStep,captureStep,gap,totalSteps
Gameplay,12345,True,11,11,17,6,17
Gameplay,12346,True,25,25,35,10,35
Gameplay,12347,True,14,14,27,13,27
Gameplay,12348,True,22,22,32,10,32
Gameplay,12349,True,17,17,26,9,26
Gameplay,12350,True,18,18,24,6,24
Gameplay,12351,True,14,14,30,16,30
Gameplay,12352,True,10,10,20,10,20
Gameplay,12353,True,26,26,35,9,35
Gameplay,12354,True,14,14,23,9,23
Gameplay,12355,True,22,22,27,5,27
Gameplay,12356,True,19,19,27,8,27
Gameplay,12357,True,14,14,28,14,28
Gameplay,12358,True,16,16,23,7,23
Gameplay,12359,True,24,24,33,9,33
Gameplay,12360,True,18,18,25,7,25
Gameplay,12361,True,10,10,19,9,19
Gameplay,12362,True,22,22,35,13,35
Gameplay,12363,True,44,44,60,16,60
Gameplay,12364,True,23,23,38,15,38
Gameplay,12365,True,17,17,24,7,24
Gameplay,12366,True,16,16,19,3,19
Gameplay,12367,True,27,27,35,8,35
Gameplay,12368,True,11,11,26,15,26
Gameplay,12369,True,26,26,38,12,38
Gameplay,12370,True,12,12,26,14,26
Gameplay,12371,True,18,18,22,4,22
Gameplay,12372,True,28,28,35,7,35
Gameplay,12373,True,24,24,34,10,34
Gameplay,12374,True,20,20,23,3,23
Gameplay,12375,True,10,10,21,11,21
Gameplay,12376,True,12,12,26,14,26
Gameplay,12377,True,23,23,26,3,26
Gameplay,12378,True,13,13,27,14,27
Gameplay,12379,True,20,20,23,3,23
Gameplay,12380,True,26,26,38,12,38
Gameplay,12381,True,15,15,20,5,20
Gameplay,12382,True,23,23,34,11,34
Gameplay,12383,True,28,28,43,15,43
Gameplay,12384,True,13,13,20,7,20
Gameplay,12385,True,15,15,20,5,20
Gameplay,12386,True,23,23,34,11,34
Gameplay,12387,True,16,16,22,6,22
Gameplay,12388,True,25,25,34,9,34
Gameplay,12389,True,17,17,20,3,20
Gameplay,12390,True,24,24,34,10,34
Gameplay,12391,True,26,26,40,14,40
Gameplay,12392,True,17,17,27,10,27
Gameplay,12393,True,13,13,21,8,21
Gameplay,12394,True,26,26,34,8,34
Gameplay,12395,True,25,25,34,9,34
Gameplay,12396,True,25,25,37,12,37
Gameplay,12397,True,14,14,18,4,18
Gameplay,12398,True,22,22,32,10,32
Gameplay,12399,True,24,24,39,15,39
Gameplay,12400,True,25,25,32,7,32
Gameplay,12401,True,10,10,22,12,22
Gameplay,12402,True,18,18,24,6,24
Gameplay,12403,True,23,23,27,4,27
Gameplay,12404,True,31,31,41,10,41
Gameplay,12405,True,14,14,28,14,28
Gameplay,12406,True,12,12,24,12,24
Gameplay,12407,True,23,23,30,7,30
Gameplay,12408,True,12,12,23,11,23
Gameplay,12409,True,23,23,34,11,34
Gameplay,12410,True,23,23,32,9,32
Gameplay,12411,True,12,12,21,9,21
Gameplay,12412,True,21,21,32,11,32
Gameplay,12413,True,14,14,20,6,20
Gameplay,12414,True,11,11,19,8,19
Gameplay,12415,True,22,22,28,6,28
Gameplay,12416,True,14,14,31,17,31
Gameplay,12417,True,10,10,17,7,17
Gameplay,12418,True,18,18,24,6,24
Gameplay,12419,True,14,14,18,4,18
