seed,captured,detectStep,capturePhaseStartStep,captureStep,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,avgIdleness,maxIdleness,workloadBalance,targetConflictCount
12345,True,11,11,16,-1,0.6699,4016,1327.7570,2.6163,16,0.9583,1327.7570,4016,0.0000,0
12346,True,25,25,34,-1,0.9709,4034,129.0485,4.6612,34,0.9608,129.0485,4034,0.4714,0
12347,True,14,14,26,-1,0.9029,4026,398.8107,3.7950,26,0.9487,398.8107,4026,0.4714,0
12348,True,22,22,31,-1,0.9126,4031,361.7087,4.4736,31,0.9570,361.7087,4031,0.9428,0
12349,True,17,17,25,-1,0.8689,4025,534.9709,3.5356,25,0.9467,534.9709,4025,0.9428,0
12350,True,18,18,23,-1,0.8495,4023,611.9369,3.6419,23,0.9710,611.9369,4023,0.0000,0
12351,True,14,14,29,-1,0.9029,4029,401.4272,4.1249,29,0.9655,401.4272,4029,0.4714,0
12352,True,10,10,19,-1,0.7330,4019,1076.9760,2.9991,19,0.9474,1076.9760,4019,0.4714,0
12353,True,26,26,34,-1,0.9612,4034,168.1262,4.5019,34,0.9706,168.1262,4034,0.4714,0
12354,True,14,14,22,-1,0.8010,4022,805.1650,3.3321,22,0.9394,805.1650,4022,0.9428,0
12355,True,22,22,26,-1,0.9175,4026,339.4514,4.1457,26,0.9744,339.4514,4026,0.0000,0
12356,True,19,19,26,-1,0.8738,4026,515.3690,4.0583,26,0.9744,515.3690,4026,0.0000,0
12357,True,14,14,27,-1,0.8350,4027,672.6165,3.6554,27,0.9630,672.6165,4027,0.4714,0
12358,True,16,16,22,-1,0.8155,4022,747.5388,3.3555,22,0.9394,747.5388,4022,0.9428,0
12359,True,24,24,32,-1,0.9660,4032,147.7864,4.3658,32,0.9583,147.7864,4032,0.9428,0
12360,True,18,18,24,-1,0.8592,4024,573.5534,3.7169,24,0.9444,573.5534,4024,0.9428,0
12361,True,10,10,18,-1,0.7330,4018,1076.2140,3.0524,18,0.9444,1076.2140,4018,0.4714,0
12362,True,22,22,34,-1,0.9660,4034,149.1602,4.6823,34,0.9608,149.1602,4034,0.4714,0
12363,True,44,44,59,41,1.0000,55,16.4903,5.4388,59,0.9831,16.4903,55,0.4714,0
12364,True,23,23,30,-1,0.9709,4030,126.3398,4.8185,30,0.9667,126.3398,4030,0.4714,0
12365,True,17,17,23,-1,0.8592,4023,572.8253,3.6058,23,0.9710,572.8253,4023,0.0000,0
12366,True,16,16,18,-1,0.7670,4018,940.0825,2.9514,18,0.9630,940.0825,4018,0.0000,0
12367,True,27,27,34,-1,0.9709,4034,128.8204,4.6489,34,0.9706,128.8204,4034,0.4714,0
12368,True,11,11,25,-1,0.7573,4025,983.3204,3.6666,25,0.9467,983.3204,4025,0.4714,0
12369,True,26,26,37,-1,0.9757,4037,111.9029,4.7180,37,0.9730,111.9029,4037,0.4714,0
12370,True,12,12,25,-1,0.9078,4025,377.8786,3.9511,25,0.9600,377.8786,4025,0.4714,0
12371,True,18,18,21,-1,0.8058,4021,786.2621,3.4863,21,0.9683,786.2621,4021,0.0000,0
12372,True,28,28,34,-1,0.9709,4034,128.6602,4.6699,34,0.9706,128.6602,4034,0.4714,0
12373,True,24,24,33,-1,0.9660,4033,148.2816,4.4341,33,0.9697,148.2816,4033,0.4714,0
12374,True,20,20,22,-1,0.8107,4022,767.1456,3.5881,22,0.9697,767.1456,4022,0.0000,0
12375,True,10,10,20,-1,0.7330,4020,1077.7090,3.0811,20,0.9333,1077.7090,4020,0.4714,0
12376,True,12,12,25,-1,0.7670,4025,943.8058,3.5413,25,0.9467,943.8058,4025,0.4714,0
12377,True,23,23,25,-1,0.9175,4025,339.3447,4.0727,25,0.9733,339.3447,4025,0.0000,0
12378,True,13,13,26,-1,0.8932,4026,436.3398,3.5661,26,0.9744,436.3398,4026,0.0000,0
12379,True,20,20,22,-1,0.8107,4022,767.1456,3.5881,22,0.9697,767.1456,4022,0.0000,0
12380,True,26,26,37,-1,0.9709,4037,131.5243,4.7636,37,0.9640,131.5243,4037,0.9428,0
12381,True,15,15,19,-1,0.7767,4019,901.7719,3.1014,19,0.9298,901.7719,4019,0.9428,0
12382,True,23,23,33,-1,0.9660,4033,148.5680,4.4626,33,0.9596,148.5680,4033,0.4714,0
12383,True,28,28,42,-1,0.9709,4042,134.4417,5.0989,42,0.9683,134.4417,4042,0.4714,0
12384,True,13,13,19,-1,0.7233,4019,1115.0440,3.1883,19,0.9298,1115.0440,4019,0.9428,0
12385,True,15,15,19,-1,0.7767,4019,901.7719,3.1014,19,0.9298,901.7719,4019,0.9428,0
12386,True,23,23,33,-1,0.9320,4033,284.6456,4.8400,33,0.9596,284.6456,4033,0.4714,0
12387,True,16,16,21,-1,0.8155,4021,747.0291,3.4217,21,0.9683,747.0291,4021,0.0000,0
12388,True,25,25,33,-1,0.9709,4033,128.6311,4.3642,33,0.9697,128.6311,4033,0.4714,0
12389,True,17,17,19,-1,0.7816,4019,882.4321,3.1398,19,0.9649,882.4321,4019,0.0000,0
12390,True,24,24,33,-1,0.9709,4033,129.0097,4.5320,33,0.9596,129.0097,4033,0.9428,0
12391,True,26,26,39,-1,0.9757,4039,113.9757,4.8907,39,0.9829,113.9757,4039,0.0000,0
12392,True,17,17,26,-1,0.8495,4026,613.4612,3.8361,26,0.9744,613.4612,4026,0.0000,0
12393,True,13,13,20,-1,0.7427,4020,1037.4470,3.0127,20,0.9667,1037.4470,4020,0.0000,0
12394,True,26,26,33,-1,0.9709,4033,128.4806,4.5362,33,0.9697,128.4806,4033,0.4714,0
12395,True,25,25,33,-1,0.9612,4033,167.7621,4.3385,33,0.9697,167.7621,4033,0.4714,0
12396,True,25,25,36,-1,0.9757,4036,111.4951,4.6110,36,0.9630,111.4951,4036,0.9428,0
12397,True,14,14,17,-1,0.7427,4017,1036.6120,2.7996,17,0.9608,1036.6120,4017,0.0000,0
12398,True,22,22,31,-1,0.9417,4031,244.0049,4.4677,31,0.9570,244.0049,4031,0.9428,0
12399,True,24,24,38,-1,0.9709,4038,132.5583,4.8165,38,0.9649,132.5583,4038,0.4714,0
12400,True,25,25,31,-1,0.9612,4031,166.5388,4.4139,31,0.9570,166.5388,4031,0.9428,0
12401,True,10,10,21,-1,0.7379,4021,1059.0050,3.1794,21,0.9365,1059.0050,4021,0.9428,0
12402,True,18,18,23,-1,0.8495,4023,611.9369,3.6419,23,0.9710,611.9369,4023,0.0000,0
12403,True,23,23,26,-1,0.9369,4026,261.5583,4.0735,26,0.9744,261.5583,4026,0.0000,0
12404,True,31,31,40,-1,0.9660,4040,150.9515,4.8882,40,0.9750,150.9515,4040,0.4714,0
12405,True,14,14,27,-1,0.9320,4027,282.1165,3.8376,27,0.9630,282.1165,4027,0.4714,0
12406,True,12,12,23,-1,0.8204,4023,727.6456,3.5955,23,0.9420,727.6456,4023,0.9428,0
12407,True,23,23,29,-1,0.9563,4029,185.3107,4.5073,29,0.9770,185.3107,4029,0.0000,0
12408,True,12,12,22,-1,0.7670,4022,941.5049,3.5146,22,0.9394,941.5049,4022,0.9428,0
12409,True,23,23,33,-1,0.9563,4033,187.5388,4.5059,33,0.9596,187.5388,4033,0.4714,0
12410,True,23,23,31,-1,0.9709,4031,127.7282,4.3916,31,0.9570,127.7282,4031,0.9428,0
12411,True,12,12,20,-1,0.7767,4020,901.2524,3.3016,20,0.9667,901.2524,4020,0.0000,0
12412,True,21,21,31,-1,0.9223,4031,322.8350,4.3958,31,0.9677,322.8350,4031,0.4714,0
12413,True,14,14,19,-1,0.7718,4019,920.6359,3.0084,19,0.9649,920.6359,4019,0.0000,0
12414,True,11,11,18,-1,0.7524,4018,997.8010,3.0312,18,0.9259,997.8010,4018,0.9428,0
12415,True,22,22,27,-1,0.9320,4027,281.7184,4.1819,27,0.9753,281.7184,4027,0.0000,0
12416,True,14,14,30,-1,0.8592,4030,575.7087,4.1598,30,0.9556,575.7087,4030,0.4714,0
12417,True,10,10,16,-1,0.6748,4016,1308.6600,2.7174,16,0.9583,1308.6600,4016,0.0000,0
12418,True,18,18,23,-1,0.8495,4023,611.9369,3.6419,23,0.9710,611.9369,4023,0.0000,0
12419,True,14,14,17,-1,0.7524,4017,997.7573,2.7632,17,0.9608,997.7573,4017,0.0000,0
12420,True,25,25,35,-1,0.9660,4035,149.3641,4.6534,35,0.9810,149.3641,4035,0.0000,0
12421,True,11,11,19,-1,0.7330,4019,1076.5440,3.0891,19,0.9298,1076.5440,4019,0.9428,0
12422,True,12,12,19,-1,0.6990,4019,1212.5580,2.8033,19,0.9298,1212.5580,4019,0.9428,0
12423,True,8,8,13,-1,0.6117,4013,1560.3060,2.4017,13,0.9487,1560.3060,4013,0.0000,0
12424,True,23,23,35,-1,0.9709,4035,130.1311,4.7113,35,0.9619,130.1311,4035,0.4714,0
12425,True,12,12,16,-1,0.6602,4016,1366.9270,2.5763,16,0.9167,1366.9270,4016,0.9428,0
12426,True,18,18,25,-1,0.8641,4025,554.6505,3.8739,25,0.9467,554.6505,4025,0.9428,0
12427,True,19,19,20,-1,0.7961,4020,824.6602,3.4227,20,0.9667,824.6602,4020,0.0000,0
12428,True,41,41,57,41,1.0000,53,15.9223,4.9718,57,0.9825,15.9223,53,0.4714,0
12429,True,17,17,20,-1,0.7816,4020,883.0000,3.0351,20,0.9333,883.0000,4020,0.9428,0
12430,True,19,19,20,-1,0.7961,4020,824.6602,3.4227,20,0.9667,824.6602,4020,0.0000,0
12431,True,23,23,26,-1,0.9320,4026,281.0437,4.0409,26,0.9744,281.0437,4026,0.0000,0
12432,True,11,11,17,-1,0.6748,4017,1308.9560,2.8916,17,0.9608,1308.9560,4017,0.0000,0
12433,True,12,12,17,-1,0.6796,4017,1289.4470,2.7425,17,0.9608,1289.4470,4017,0.0000,0
12434,True,18,18,24,-1,0.8592,4024,573.4466,3.7514,24,0.9722,573.4466,4024,0.0000,0
12435,True,38,38,45,-1,0.9806,4045,90.8447,5.0402,45,0.9778,90.8447,4045,0.4714,0
12436,True,23,23,29,-1,0.9563,4029,185.3398,4.5528,29,0.9770,185.3398,4029,0.0000,0
12437,True,18,18,22,-1,0.8204,4022,728.3350,3.5057,22,0.9697,728.3350,4022,0.0000,0
12438,True,18,18,36,-1,0.8641,4036,558.8690,4.8415,36,0.9630,558.8690,4036,0.4714,0
12439,True,21,21,22,-1,0.8204,4022,728.2427,3.4664,22,0.9697,728.2427,4022,0.0000,0
12440,True,12,12,24,-1,0.8252,4024,709.0243,3.6086,24,0.9444,709.0243,4024,0.4714,0
12441,True,12,12,25,-1,0.8010,4025,807.1602,3.5935,25,0.9600,807.1602,4025,0.4714,0
12442,True,26,26,37,-1,0.9757,4037,111.8010,4.6667,37,0.9730,111.8010,4037,0.4714,0
12443,True,24,24,38,-1,0.9709,4038,132.6942,4.8243,38,0.9737,132.6942,4038,0.4714,0
12444,True,24,24,29,-1,0.9417,4029,243.7621,4.5014,29,0.9770,243.7621,4029,0.0000,0
12445,True,17,17,22,-1,0.8301,4022,689.3350,3.3910,22,0.9697,689.3350,4022,0.0000,0
12446,True,21,21,24,-1,0.8495,4024,612.1942,3.7632,24,0.9722,612.1942,4024,0.0000,0
12447,True,18,18,25,-1,0.8301,4025,691.2621,3.8359,25,0.9467,691.2621,4025,0.9428,0
12448,True,24,24,33,-1,0.9660,4033,148.4806,4.3673,33,0.9596,148.4806,4033,0.9428,0
12449,True,14,14,19,-1,0.7767,4019,901.1116,3.0520,19,0.9649,901.1116,4019,0.0000,0
12450,True,10,10,23,-1,0.8350,4023,670.1893,3.4225,23,0.9565,670.1893,4023,0.4714,0
12451,True,25,25,31,-1,0.9612,4031,166.6116,4.4633,31,0.9570,166.6116,4031,0.9428,0
