simMode,seed,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,workloadBalance,targetConflictCount
PatrolOnly,12345,33,1.0000,38,8.8350,4.5827,100,0.9900,0.0000,0
PatrolOnly,12346,39,1.0000,35,9.5728,4.5291,100,0.9900,0.0000,0
PatrolOnly,12347,35,1.0000,40,6.8884,4.9593,100,0.9933,0.0000,0
PatrolOnly,12348,34,1.0000,40,7.5874,4.6876,100,0.9900,0.0000,0
PatrolOnly,12349,39,1.0000,33,10.6165,5.0731,100,0.9900,0.0000,0
PatrolOnly,12350,36,1.0000,39,7.7767,4.3027,100,0.9933,0.0000,0
PatrolOnly,12351,40,1.0000,40,9.4175,5.2827,100,0.9933,0.0000,0
PatrolOnly,12352,33,1.0000,41,9.0437,4.7252,100,0.9900,0.0000,0
PatrolOnly,12353,38,1.0000,34,7.0291,5.0702,100,0.9900,0.0000,0
PatrolOnly,12354,36,1.0000,33,8.2233,4.5695,100,0.9900,0.0000,0
PatrolOnly,12355,37,1.0000,30,7.6311,4.7416,100,0.9933,0.0000,0
PatrolOnly,12356,37,1.0000,39,8.2913,4.3930,100,0.9900,0.0000,0
PatrolOnly,12357,36,1.0000,33,8.0583,4.8472,100,0.9900,0.0000,0
PatrolOnly,12358,36,1.0000,35,10.7185,5.6849,100,0.9900,0.0000,0
PatrolOnly,12359,35,1.0000,33,8.8835,4.6934,100,0.9900,0.0000,0
PatrolOnly,12360,44,1.0000,50,7.0340,5.0103,100,0.9933,0.0000,0
PatrolOnly,12361,39,1.0000,42,10.1456,5.0201,100,0.9900,0.0000,0
PatrolOnly,12362,35,1.0000,41,9.1699,4.9726,100,0.9900,0.0000,0
PatrolOnly,12363,36,1.0000,44,9.8155,4.3931,100,0.9933,0.0000,0
PatrolOnly,12364,47,1.0000,49,8.6019,5.4239,100,0.9933,0.0000,0
PatrolOnly,12365,33,1.0000,48,10.6505,4.4177,100,0.9900,0.0000,0
PatrolOnly,12366,32,1.0000,31,7.9709,4.8401,100,0.9900,0.0000,0
PatrolOnly,12367,36,1.0000,39,13.3155,5.2468,100,0.9900,0.0000,0
PatrolOnly,12368,33,1.0000,36,8.1990,4.8156,100,0.9900,0.0000,0
PatrolOnly,12369,47,1.0000,34,8.3835,4.5157,100,0.9900,0.0000,0
PatrolOnly,12370,40,1.0000,41,9.1602,4.6068,100,0.9900,0.0000,0
PatrolOnly,12371,38,1.0000,45,8.9078,4.6053,100,0.9933,0.0000,0
PatrolOnly,12372,31,1.0000,39,7.2816,4.4556,100,0.9900,0.0000,0
PatrolOnly,12373,32,1.0000,37,10.1748,4.4695,100,0.9900,0.0000,0
PatrolOnly,12374,34,1.0000,40,11.0340,5.0312,100,0.9933,0.0000,0
